RID,TOMM40_A1,TOMM40_A2
295,16,21
413,16,34
559,35,35
619,28,28
685,33,34
729,16,21
782,16,34
816,21,34
938,16,16
954,16,28
955,21,35
1018,16,36
1070,16,37
1155,16,35
1261,16,33
1268,28,38
1280,22,34
221,28,28
222,35,35
223,16,28
324,34,34
448,16,34
546,16,28
553,16,34
572,21,21
602,16,34
610,16,33
814,22,35
929,28,34
1224,36,36
1341,16,28
484,16,34
498,28,32
547,35,35
653,21,29
675,16,16
681,28,31
731,16,34
1130,16,21
41,28,28
68,16,33
70,34,34
101,28,28
128,29,29
249,27,36
293,16,22
316,22,28
344,28,28
414,28,34
698,16,21
1206,34,34
1222,,
1248,16,16
1304,16,28
1339,16,38
751,16,35
842,28,34
862,16,28
1030,16,38
1199,16,34
1334,31,32
1354,29,31
67,16,34
161,16,28
419,16,32
420,33,34
422,33,33
472,16,16
786,16,35
829,28,28
904,16,35
2,16,16
3,29,34
5,35,35
8,16,16
10,16,28
16,22,30
21,16,30
22,15,34
23,16,16
53,16,35
168,16,34
183,28,33
241,16,16
326,16,37
362,30,46
856,16,28
861,28,28
1080,16,33
1282,16,34
634,16,34
637,16,33
689,28,28
712,16,34
720,16,16
803,16,34
917,16,16
932,16,34
1009,20,28
1033,28,34
1133,33,34
1165,29,32
1175,16,35
1212,16,33
1292,16,32
1321,16,16
240,16,34
325,16,28
502,16,32
575,16,16
592,22,35
699,35,35
860,16,16
996,16,35
1035,16,28
1120,33,34
1161,16,34
1186,16,35
1205,35,35
1275,28,28
1276,16,16
169,16,28
328,16,28
356,28,34
519,35,35
520,28,28
548,28,34
557,29,34
558,16,34
563,16,34
658,35,38
1095,16,28
354,16,33
359,36,38
538,16,16
590,16,28
702,16,28
769,16,35
991,16,16
1028,28,34
1092,28,28
1117,16,37
1121,16,16
1138,21,22
1149,16,34
1263,16,28
1326,16,28
43,16,38
55,34,34
57,16,28
80,16,28
87,16,33
103,21,29
142,16,28
155,16,28
286,16,16
335,16,34
369,16,35
406,16,16
425,16,33
450,29,33
633,16,28
682,22,33
97,34,34
213,33,34
883,16,28
899,16,35
1288,16,34
141,28,35
159,34,34
178,16,16
231,16,16
273,32,34
276,16,34
332,16,34
337,16,28
343,29,34
424,22,35
626,16,33
642,16,16
647,16,28
753,21,29
984,16,28
1109,16,28
4,16,16
7,16,29
14,16,16
44,16,33
66,16,35
96,34,34
129,16,34
130,16,16
219,15,35
543,16,28
544,16,34
750,16,28
924,28,35
961,28,34
1097,16,16
1351,20,28
1366,37,37
1394,28,34
30,36,36
31,16,36
42,34,34
58,16,29
61,16,33
78,28,33
81,16,29
83,29,29
84,16,28
93,16,21
126,22,35
139,21,29
217,16,16
331,28,28
376,16,33
388,28,28
604,16,34
613,33,34
625,16,35
855,34,34
887,30,34
916,28,28
926,16,16
963,16,28
1046,28,34
1104,28,29
1126,16,16
1190,16,16
1247,16,16
1262,28,34
1289,,
1306,16,28
985,28,33
1063,16,20
1171,,
1307,17,29
1393,16,34
1400,16,37
74,16,34
116,16,16
118,16,34
120,28,34
179,27,35
256,28,28
307,16,34
403,36,37
404,16,16
408,16,33
417,27,33
461,16,33
485,28,28
644,16,35
835,29,32
850,16,29
1045,16,33
1081,,
1082,22,30
1213,29,32
1254,,
1277,22,34
1385,15,32
1387,21,35
824,16,32
836,27,36
843,34,35
845,16,29
866,16,33
878,16,28
914,17,29
999,17,33
1038,16,29
1056,16,35
1073,17,29
1184,16,16
1215,16,16
1218,16,33
1318,16,34
1384,20,28
294,16,36
321,28,28
351,16,33
554,21,47
568,34,34
618,16,29
821,21,34
830,28,33
867,16,35
1066,29,29
1209,27,34
95,16,33
147,16,33
187,28,28
214,21,28
400,16,33
479,16,35
677,16,35
718,16,16
978,17,29
1037,28,28
1101,16,28
1169,14,16
511,16,35
513,29,29
514,16,16
516,16,33
567,16,21
723,16,16
724,16,34
725,28,34
