mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,mean_test_score,std_test_score,rank_test_score
0.2625144863128662,0.09351765176965447,0.0009044265747070313,0.003036825501620058,10,"(20,)","{'batch_size': 10, 'hidden_layer_sizes': (20,)}",0.40872210953346855,0.5021505376344085,0.5,0.5,0.525,0.5,0.5,0.567741935483871,0.5,0.5,0.5,0.5,0.4949290060851927,0.5,0.53125,0.5,0.4707602339181286,0.46881720430107526,0.5,0.5,0.5077972709551657,0.5,0.5,0.5,0.5,0.4990867319164524,0.025627955080484367,14
0.24793957710266112,0.06588247226701163,0.00019899368286132812,0.0003979888933993958,10,"(50,)","{'batch_size': 10, 'hidden_layer_sizes': (50,)}",0.40872210953346855,0.5021505376344085,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4949290060851927,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3970588235294118,0.5,0.4921144190712992,0.026385086111659895,16
0.23339951515197754,0.007906769850551689,0.00015962600708007812,0.0003657556482704021,10,"(20, 6)","{'batch_size': 10, 'hidden_layer_sizes': (20, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.2529070281982422,0.008374263456382258,0.00035898208618164064,0.00047864291986444166,10,"(50, 6)","{'batch_size': 10, 'hidden_layer_sizes': (50, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.23490386009216307,0.005773736335710396,0.00015960693359375,0.0003657054459687729,10,"(20, 10)","{'batch_size': 10, 'hidden_layer_sizes': (20, 10)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.2591409683227539,0.007067896557575312,0.0003191852569580078,0.0004652888750090655,10,"(50, 10)","{'batch_size': 10, 'hidden_layer_sizes': (50, 10)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.31521436691284177,0.008904459408885094,0.00027926445007324217,0.0004478195485933115,10,"(50, 10, 6)","{'batch_size': 10, 'hidden_layer_sizes': (50, 10, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.2948137760162354,0.008978905611994615,0.00019959449768066405,0.0003991896412747735,10,"(20, 10, 6)","{'batch_size': 10, 'hidden_layer_sizes': (20, 10, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.10465771675109864,0.007308423234541502,0.00019938468933105468,0.000398769644369817,20,"(20,)","{'batch_size': 20, 'hidden_layer_sizes': (20,)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.13541416168212891,0.03643945588432573,0.00027928352355957033,0.0004478512366375453,20,"(50,)","{'batch_size': 20, 'hidden_layer_sizes': (50,)}",0.43103448275862066,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49724137931034484,0.013514426167079608,15
0.13346026420593263,0.0042283923303108005,0.00016065597534179688,0.00036814214377103367,20,"(20, 6)","{'batch_size': 20, 'hidden_layer_sizes': (20, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.1509699058532715,0.005217521714683004,0.0003194904327392578,0.00046573576699445845,20,"(50, 6)","{'batch_size': 20, 'hidden_layer_sizes': (50, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.13679187774658202,0.006141939980865412,0.00035736083984375,0.00047652460020633584,20,"(20, 10)","{'batch_size': 20, 'hidden_layer_sizes': (20, 10)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.15965984344482423,0.005515365851748136,0.0002781009674072266,0.0004459817796035211,20,"(50, 10)","{'batch_size': 20, 'hidden_layer_sizes': (50, 10)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.1915712833404541,0.004189708532799743,0.0003591156005859375,0.00047882392536126094,20,"(50, 10, 6)","{'batch_size': 20, 'hidden_layer_sizes': (50, 10, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
0.16810850143432618,0.006960616544130524,0.0008241748809814453,0.003045984083434686,20,"(20, 10, 6)","{'batch_size': 20, 'hidden_layer_sizes': (20, 10, 6)}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
